entity_type,name,mention_count,row_count,sources,variants,spellings
PN,Ennam-Aššur,433,433,lexicon; onomasticon,Ennam-Aššur,e-na-a-šur; e-na-a-šur-ma; e-na-a-šùr; e-na-a-šùr-ma; e-na-am-a-šur; e-na-ma-a-šur; e-na-ma-a-šùr; e-na-ma-šur; e-na-ma-šùr; e-nam-a-šur; e-nam-a-šur-ma; e-nam-a-šùr; e-nam-a-šùr-ma; e-nam-šùr; e-nam={d}a-šur; e-nam={d}a-šùr; e-nu-a-šur; e-nu-a-šùr; e-nu-um-a-šur; e-nu-um-a-šùr; e-num-a-šur; e-num-a-šur-ma; e-num-a-šùr; e-num-a-šùr-ma; e-um-a-šur; e-um-a-šùr; e-um-a-šùr-ma; en-am-a-šur; en-am-a-šùr; en-kù-a-šur; en-na-a-šur; en-na-a-šur-ma; en-na-a-šùr; en-na-a-šùr-ma; en-na-am-a-šur; en-na-am-a-šùr; en-na-ma-a-šur; en-na-ma-a-šùr; en-na-ma-šur; en-na-ma-šùr; en-nam-a-šur; en-nam-a-šur-ma; en-nam-a-šùr; en-nam-a-šùr-ma; en-nam-aš-šùr; en-nam={d}a-šur; en-nu-a-šur; en-nu-a-šur-ma; en-nu-a-šùr; en-nu-um-a-šur; en-nu-um-a-šùr; en-num-a-šur; en-num-a-šur-ma; en-num-a-šùr; en-num-a-šùr-ma; en-u-a-šùr; en-um-a-šur; en-um-a-šur-ma; en-um-a-šur-ni; en-um-a-šùr; en-um-a-šùr-ma; en6-na-a-šur; en6-nam-a-šur; en6-nam-a-šùr; in-na-a-šur; in-na-a-šùr; {m}en-um-a-šur; {m}en-um-a-šùr
PN,Ali-ahum,378,378,onomasticon,Ali-ahum,a-la-hi-im; a-la-hu-um; a-lá-hu-um
PN,Šalim-Aššur,243,243,lexicon; onomasticon,Šalim-Aššur,{m}šál-ma-a-šur; ša-al-ma-a-šur; ša-lim-a-šur; ša-lim-a-šur-ma; ša-lim-a-šùr; ša-lim-a-šùr-ma; ša-lim={d}a-šùr; ša-lím-a-šùr; šál-lim-a-šur; šál-lim-a-šùr; šál-ma-a-šur; šál-ma-a-šur-ma; šál-ma-a-šùr; šál-ma-a-šùr-ma; šál-ma-šur; šál-ma={d}a-šur
PN,Aššur,154,154,lexicon,Aššur,a-šur; a-šur-ma; a-šùr; ta-šu-ur; tá-šur; {d}a-šur; {d}a-šùr
PN,Iddin-abum,145,145,onomasticon,Iddin-abum,i-dí-in-a-bu-um
PN,Šu-Ištar,132,132,lexicon; onomasticon,Šu-Ištar,su-ištar; {m}šu-ištar; šu-iš-tár; šu-iš8-tár; šu-ištar; šu-ištar-ma; šu.ištar; šu={d}ištar-ma
PN,Amur-Ištar,126,126,lexicon; onomasticon,Amur-Ištar,a-mu-ištar; a-mur-iš-tar; a-mur-iš-tar-ma; a-mur-iš8-tár; a-mur-ištar; a-mur-ištar-ma; am-ri-ištar; am-ur-ištar
PN,Aššur-malik,125,125,lexicon; onomasticon,Aššur-malik; Aššur-mālik,a-šur-ma-lik; a-šur-ma-lik-ma; a-šur-ma-lík; a-šur-me-lik; a-šùr-ma-lik; a-šùr-ma-lik-ma; {d}a-šur-lik-ma; {d}a-šur-ma-lik; {d}a-šur-ma-lik-ma; {d}a-šùr-ma-lik; {d}a-šùr-ma-lik-ma; {m}{d}a-šùr-ma-lik
PN,Elamma,123,123,lexicon; onomasticon,Elamma,e-la-ma; e-la-ma-ma; e-lam-ma; e-lá-ma; e-lá-ma-ma; é-lá-ma
PN,Puzur-Aššur,118,118,lexicon; onomasticon,Puzur-Aššur,ma-na-šur; man-a-šur; man-a-šur-ma; man-a-šùr; man-a-šùr-ma; puzur2-a-šur; puzur2-a-šùr; puzur4-a-šur; puzur4-a-šur-ma; puzur4-a-šùr; puzur4-a-šùr-ma; puzur4.a-šur; puzur4={d}a-šùr; púzur-a-šur; púzur-a-šur-ma; púzur-a-šùr; púzur-a-šùr-ma; {m}puzur4-a-šùr; {m}púzur-a-šur; {m}púzur-a-šùr
